Town,Box code,Street code,City
ATLANTIS UIT 12,,7349,DASSENBERG
ATLANTIS EXT 13,,7349,DASSENBERG
ATLANTIS UIT 13,,7349,DASSENBERG
ATLASPARK,1465,,-
ATLASVILLE,1465,1459,BOKSBURG
ATLASVILLE EXT 1,,1459,BOKSBURG
ATLASVILLE UIT 1,,1459,BOKSBURG
ATLASVILLE EXT 2,,1459,BOKSBURG
ATLASVILLE UIT 2,,1459,BOKSBURG
ATOK,0749,,POLOKWANE
ATOOM,0514,,NYLSTROOM
ATTAWAY,7354,,ATLANTIS
ATTERIDGEVILLE,0006,0008,PRETORIA
ATTERIDGEVILLE EAST,0089,,
ATTERIDGEVILLE-OOS,0089,,
ATTERIDGEVILLE EXT 17,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE UIT 17,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE EXT 2,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE UIT 2,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE EXT 3,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE UIT 3,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE EXT 4,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE UIT 4,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE EXT 7,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE UIT 7,,0008,ATTERIDGEVILLE
ATTERIDGEVILLE WEST EXT 6,,0008,
ATTERIDGEVILLE-WES UIT 6,,0008,
AUCKLAND PARK,2006,2092,JOHANNESBURG
AUDAS EST,,7130,SOMERSET WEST
AUDAS LGD,,7130,SOMERSET WEST
AUGRABIES,8874,,KAKAMAS
AUGUSTA COUNTRY ESTATE,3626,,PINETOWN
AUGUSTA COUNTRY LANDGOED,3626,,PINETOWN
AUREUS,1760,1759,RANDFONTEIN
AUREUS EXT 3,1760,1759,RANDFONTEIN
AUREUS UIT 3,1760,1759,RANDFONTEIN
AURORA,,7550,DURBANVILLE
AURORA,7325,,PIKETBERG
AURORA EST,,7550,DURBANVILLE
AURORA LGD,,7550,DURBANVILLE
AUSTERVILLE,4005,4052,DURBAN
AUSTINVIEW EXT 1,1685,1685,HALFWAY HOUSE
AUSTINVIEW UIT 1,1685,1685,HALFWAY HOUSE
AUSTINVILLE,,7580,BLACKHEATH
AVALANO,,1739,KRUGERSDORP
AVALON PARK,,7580,KUILSRIVIER
AVENTURA EILAND,0885,,-
AVIAN PARK,,6850,WORCESTER
AVIARY HILL,2940,,NEWCASTLE
AVOCA,,4051,DURBAN NORTH
AVOCA HILLS,,4051,DURBAN NORTH
AVONDALE,,7490,MATROOSFONTEIN
AVONDALE,,7500,PAROW
AVONDALE,,7349,ATLANTIS
AVONDALE GARDENS,7800,7800,DIEP RIVER
AVONDALE ROAD,4101,,DURBAN
AVONTUUR,6490,,UNIONDALE
AVONWOOD,,7490,MATROOSFONTEIN
AZAADVILLE,1750,1754,-
AZAADVILLE EXT 1,,1754,KAGISO
AZAADVILLE UIT 1,,1754,KAGISO
AZALEA,3204,,SCOTTSVILLE
AZALEA,3200,,PIETERMARITZBURG
AZALEA PARK,,6220,DESPATCH
AZALIA,,2430,STANDERTON
BAAKENS VALLEY,,6001,
BAARDSKEERDERSBOS,7271,,GANS BAY
BABANANGO,3850,,ESHOWE
BABELEGI,0407,0407,TEMBA
BABETHU,0488,,-
BABIRWA,0641,,-
BABIRWA,0716,,POLOKWANE
BACA,5160,,LIBODE
BADI,5015,,IDUTYWA
BADPLAAS,1190,,-
BADSHOOGTE,,6720,MONTAGU
BAFOKENG,2711,,-
BAGLEYSTON,,2192,JOHANNESBURG
BAGQOZINI,5138,,-
BAILEYS MUCKLENEUK,,0181,WATERKLOOF
BAILLIE PARK,2526,2531,POTCHEFSTROOM
BAIN'S VLEI,9338,,-
BAKENBERG,0611,0611,POTGIETERSRUS
BAKENPARK,,9701,BETHLEHEM
BAKERTON,1578,1559,SPRINGS
BAKERTON EXT 1,,1559,SPRINGS
BAKERTON UIT 1,,1559,SPRINGS
BAKERTON EXT 2,,1559,SPRINGS
BAKERTON UIT 2,,1559,SPRINGS
BAKERTON EXT 4,,1559,SPRINGS
BAKERTON UIT 4,,1559,SPRINGS
BAKERTON EXT 41,,1559,SPRINGS
BAKERTON UIT 41,,1559,SPRINGS
BAKERVILLE,2742,2742,LICHTENBURG
BAKERVILLE GARDENS,,4037,MARBLE RAY
BAKERVILLE HEIGHTS,,3201,PIETERMARITZBURG
BAKKE,,6506,MOSSEL BAY
BAKKERSHOOGTE,,7130,SOMERSET WEST
BAKOLOBENG,2781,,
BAKONE,0746,,POLOKWANE
BAKOVEN,,8005,CAPE TOWN
BALEEMA,0336,,RUSTENBURG
BALFOUR,2410,2410,MPUMALANGA
BALFOUR,5740,5740,EASTERN CAPE
BALFOUR EXT 6,2410,2410,BALFOUR
BALFOUR UIT 6,2410,2410,BALFOUR
BALFOUR NORTH,2410,2410,BALFOUR
BALFOUR-NOORD,2410,2410,BALFOUR
BALGOWAN,3275,,HOWICK
BALLI HI HOTEL,2942,,NEWCASTLE
BALLITO,4420,4399,TONGAAT
BALLOTSVIEW,,6529,GEORGE
BALMORAL,1037,,WITBANK
BALMORAL,,5319,QUEENSTOWN
BALOPA,0782,,POLOKWANE
BALTIMORE,0619,,POTGIETERSRUS
BALVENIE,,7490,MATROOSFONTEIN
BAMAAKA,2842,,MADIKWE
BAMARE-A-PHOGOLE,2843,,MADIKWE
BAMBANANI,9493,,
BAMBISANANI,3855,,NKANDLA
BAMBISANE,4829,,LUSIKISIKI
BAMOKGOKO,0432,,HAMMANSKRAAL
BAMSHELA,3261,,OZWATINI
BANBURY,2164,2194,JOHANNESBURG
BANDELIERKOP,0800,,POLOKWANE
BANHOEK,,7600,STELLENBOSCH
BANKENVELD,1035,,WITBANK
BANKIES,5341,,LADY FRERE
BANKSDRIF,8576,,TAUNG
BANNERS REST,4295,,PORT EDWARD
BANTRY BAY,,8005,CAPE TOWN
BANTRYBAAI,,8005,CAPE TOWN
BANZI POORT,5380,,COFIMVABA
BAPHALANE,0349,,RUSTENBURG
BAPO II,0337,0337,RUSTENBURG
BAPONG,0269,,BRITS
BAPSFONTEIN,1510,,
BARAGWANATH,2013,,JOHANNESBURG
BARANDAS,6480,,UNIONDALE
BARASEBA,0271,,BRITS
BARATHEO,0338,,RUSTENBURG
BARBAROSA EST,,7806,CONSTANTIA
BARBAROSA LGD,,7806,CONSTANTIA
BARBERSPAN,2765,,-
BARBERTON,1300,1300,-
BARBERTON EXT,1300,1300,BARBERTON
BARBERTON UIT,1300,1300,BARBERTON
BARBERTON EXT 1,1300,1300,BARBERTON
BARBERTON UIT 1,1300,1300,BARBERTON
BARBERTON EXT 2,1300,1300,BARBERTON
BARBERTON UIT 2,1300,1300,BARBERTON
BARBERTON EXT 3,1300,1300,BARBERTON
BARBERTON UIT 3,1300,1300,BARBERTON
